ID,sentence,reference_Id
Q8_2_001,大南一統志卷之九，平定省東西相距一百三十五里，南北相距二百十一里。,"[""[[1679, 0], [1795, 0], [1795, 1738], [1679, 1738]]"", ""[[1599, 0], [1679, 0], [1679, 1738], [1599, 1738]]"", ""[[1489, 0], [1568, 0], [1568, 1738], [1489, 1738]]"", ""[[1351, 0], [1460, 0], [1460, 1738], [1351, 1738]]""]"
Q8_2_002,東至海三十六里有奇，西至蠻崗九十九里。,"[""[[1351, 0], [1460, 0], [1460, 1738], [1351, 1738]]"", ""[[1265, 0], [1351, 0], [1351, 1738], [1265, 1738]]""]"
Q8_2_003,南至富安省同春縣界四十五里，北至廣義省慕德縣界一百六十六里。,"[""[[1265, 0], [1351, 0], [1351, 1738], [1265, 1738]]"", ""[[1157, 0], [1236, 0], [1236, 1738], [1157, 1738]]""]"
Q8_2_004,西南至蠻崗四十八里，東北至海夾廣義省界一百三十七里。,"[""[[1157, 0], [1236, 0], [1236, 1738], [1157, 1738]]"", ""[[1048, 0], [1128, 0], [1128, 1738], [1048, 1738]]"", ""[[852, 0], [958, 0], [958, 1738], [852, 1738]]""]"
Q8_2_005,東南至富安省界四十里，西北至山蠻界一百餘里。,"[""[[852, 0], [958, 0], [958, 1738], [852, 1738]]"", ""[[740, 0], [852, 0], [852, 1738], [740, 1738]]""]"
Q8_2_006,自省城進京六百四十七里。,"[""[[740, 0], [852, 0], [852, 1738], [740, 1738]]""]"
Q8_2_007,分野年測極高十四度十五分，偏東一度三十五分。,"[""[[660, 0], [740, 0], [740, 1738], [660, 1738]]"", ""[[478, 0], [544, 0], [544, 1738], [478, 1738]]"", ""[[401, 0], [478, 0], [478, 1738], [401, 1738]]""]"
Q8_2_008,建置沿革：古越裳氏地，秦為林邑縣，屬象郡；漢爲象林上縣，屬日南郡。,"[""[[318, 0], [401, 0], [401, 1738], [318, 1738]]"", ""[[199, 0], [318, 0], [318, 1738], [199, 1738]]"", ""[[0, 0], [96, 0], [96, 1738], [0, 1738]]"", ""[[1710, 0], [1796, 0], [1796, 1740], [1710, 1740]]""]"
Q8_3_009,後漢順帝永和二年，郡人功曹區憐殺縣令據其地，自行稱爲林邑王。,"[""[[1710, 0], [1796, 0], [1796, 1740], [1710, 1740]]"", ""[[1601, 0], [1682, 0], [1682, 1740], [1601, 1740]]""]"
Q8_3_010,隋大業元年平林邑，置沖州，尋改爲林邑郡，統縣交江南極象浦金山。,"[""[[1601, 0], [1682, 0], [1682, 1740], [1601, 1740]]"", ""[[1490, 0], [1571, 0], [1571, 1740], [1490, 1740]]"", ""[[1363, 0], [1479, 0], [1479, 1740], [1363, 1740]]""]"
