ID,sentence,reference_Id
Q12_4_001,大南一統志 十二平順省寧順道阿西、東相距三百三十三里，南北相距五十五里。,"[""[[901, 0], [1001, 0], [1001, 1602], [901, 1602]]"", ""[[815, 0], [901, 0], [901, 1602], [815, 1602]]"", ""[[773, 0], [815, 0], [815, 1602], [773, 1602]]"", ""[[647, 0], [773, 0], [773, 1602], [647, 1602]]"", ""[[520, 0], [647, 0], [647, 1602], [520, 1602]]"", ""[[391, 0], [520, 0], [520, 1602], [391, 1602]]"", ""[[263, 0], [391, 0], [391, 1602], [263, 1602]]"", ""[[144, 0], [263, 0], [263, 1602], [144, 1602]]""]"
Q12_4_011,平順省, 寧順道阿西、東相距三百三十三里，南北相距五十五里。,"[""[[901, 0], [1001, 0], [1001, 1602], [901, 1602]]"", ""[[815, 0], [901, 0], [901, 1602], [815, 1602]]"", ""[[773, 0], [815, 0], [815, 1602], [773, 1602]]"", ""[[647, 0], [773, 0], [773, 1602], [647, 1602]]"", ""[[520, 0], [647, 0], [647, 1602], [520, 1602]]"", ""[[391, 0], [520, 0], [520, 1602], [391, 1602]]"", ""[[263, 0], [391, 0], [391, 1602], [263, 1602]]"", ""[[144, 0], [263, 0], [263, 1602], [144, 1602]]""]"
Q12_5_002,自省城府城舊咸順，東至夾寧順道一百六十二里，西至夾邊和省界一百七十一里，南至海五里，北至山崗五十里。,"[""[[851, 0], [974, 0], [974, 1605], [851, 1605]]"", ""[[108, 0], [211, 0], [211, 1605], [108, 1605]]"", ""[[263, 0], [388, 0], [388, 1600], [263, 1600]]"", ""[[856, 0], [982, 0], [982, 1610], [856, 1610]]"", ""[[471, 0], [602, 0], [602, 1610], [471, 1610]]"", ""[[643, 0], [768, 0], [768, 1605], [643, 1605]]"", ""[[296, 0], [385, 0], [385, 1605], [296, 1605]]"", ""[[138, 0], [259, 0], [259, 1605], [138, 1605]]"", ""[[861, 0], [924, 0], [924, 1620], [861, 1620]]"", ""[[772, 0], [861, 0], [861, 1620], [772, 1620]]"", ""[[609, 0], [735, 0], [735, 1620], [609, 1620]]"", ""[[148, 0], [218, 0], [218, 1620], [148, 1620]]"", ""[[69, 0], [148, 0], [148, 1620], [69, 1620]]"", ""[[454, 0], [522, 0], [522, 1618], [454, 1618]]"", ""[[389, 0], [454, 0], [454, 1618], [389, 1618]]"", ""[[323, 0], [389, 0], [389, 1618], [323, 1618]]"", ""[[262, 0], [323, 0], [323, 1618], [262, 1618]]""]"
Q12_11_003,又自山肩經諸蠻分至北極界一百五十餘里，東北進京一千四百十里。,"[""[[853, 0], [913, 0], [913, 1612], [853, 1612]]"", ""[[536, 0], [597, 0], [597, 1612], [536, 1612]]"", ""[[402, 0], [466, 0], [466, 1612], [402, 1612]]"", ""[[340, 0], [402, 0], [402, 1612], [340, 1612]]"", ""[[276, 0], [340, 0], [340, 1612], [276, 1612]]""]"
Q12_12_004,又按舊省城在禾多縣，東至寧順道八十一里，西至邊和省界二百八十五里，南至海二十七里，北至山崗二十八里。,"[""[[901, 0], [972, 0], [972, 1598], [901, 1598]]"", ""[[653, 0], [714, 0], [714, 1598], [653, 1598]]"", ""[[267, 0], [334, 0], [334, 1598], [267, 1598]]"", ""[[854, 0], [909, 0], [909, 1597], [854, 1597]]"", ""[[535, 0], [598, 0], [598, 1597], [535, 1597]]"", ""[[339, 0], [405, 0], [405, 1597], [339, 1597]]"", ""[[212, 0], [275, 0], [275, 1597], [212, 1597]]"", ""[[834, 0], [894, 0], [894, 1596], [834, 1596]]"", ""[[769, 0], [834, 0], [834, 1596], [769, 1596]]"", ""[[519, 0], [580, 0], [580, 1596], [519, 1596]]"", ""[[391, 0], [455, 0], [455, 1596], [391, 1596]]"", ""[[905, 0], [974, 0], [974, 1610], [905, 1610]]"", ""[[845, 0], [905, 0], [905, 1610], [845, 1610]]"", ""[[462, 0], [528, 0], [528, 1610], [462, 1610]]"", ""[[145, 0], [209, 0], [209, 1610], [145, 1610]]"", ""[[396, 0], [520, 0], [520, 1590], [396, 1590]]"", ""[[845, 0], [965, 0], [965, 1612], [845, 1612]]"", ""[[106, 0], [206, 0], [206, 1612], [106, 1612]]""]"
Q12_18_005,東南至寧順海分一百十三里有奇，西南至邊租省海分二百六十二里。,"[""[[898, 0], [999, 0], [999, 1608], [898, 1608]]"", ""[[387, 0], [520, 0], [520, 1608], [387, 1608]]"", ""[[595, 0], [724, 0], [724, 1613], [595, 1613]]"", ""[[898, 0], [997, 0], [997, 1612], [898, 1612]]"", ""[[708, 0], [771, 0], [771, 1612], [708, 1612]]"", ""[[392, 0], [518, 0], [518, 1612], [392, 1612]]""]"
Q12_21_006,東北至蠻同極界二百五里，西北至蠻崗夾寧順道蠻縣一百餘里。,"[""[[601, 0], [733, 0], [733, 1606], [601, 1606]]"", ""[[475, 0], [601, 0], [601, 1606], [475, 1606]]"", ""[[962, 0], [1047, 0], [1047, 1590], [962, 1590]]"", ""[[898, 0], [962, 0], [962, 1590], [898, 1590]]"", ""[[712, 0], [774, 0], [774, 1590], [712, 1590]]"", ""[[393, 0], [457, 0], [457, 1590], [393, 1590]]"", ""[[145, 0], [206, 0], [206, 1590], [145, 1590]]""]"
Q12_23_007,新城市距舊城西南一百三十里，分野天文翼軫，分野鶉尾之次。,"[""[[723, 0], [789, 0], [789, 1595], [723, 1595]]"", ""[[593, 0], [659, 0], [659, 1595], [593, 1595]]"", ""[[954, 0], [1042, 0], [1042, 1600], [954, 1600]]""]"
Q12_24_008,建置沿革：古爲日南徼外國，後爲占城，黎聖尊平占城以國之南邊地畀之，俾奉職貢太尊孝哲皇帝。,"[""[[765, 0], [830, 0], [830, 1600], [765, 1600]]"", ""[[700, 0], [765, 0], [765, 1600], [700, 1600]]"", ""[[575, 0], [639, 0], [639, 1600], [575, 1600]]""]"
Q12_24_009,拓地至潘郎江，江以西猶爲占城國，顯尊孝明皇帝壬申元年，占國王婆爭叛命掌阮有鏡擊破之，擒婆爭以歸，改其地爲順城。,"[""[[512, 0], [575, 0], [575, 1600], [512, 1600]]"", ""[[449, 0], [512, 0], [512, 1600], [449, 1600]]"", ""[[169, 0], [253, 0], [253, 1600], [169, 1600]]""]"
Q12_25_010,鎭丁丑六年，置平順府，以潘郎以西之地分為安福、禾多二縣隸之。,"[""[[593, 0], [720, 0], [720, 1599], [593, 1599]]"", ""[[502, 0], [593, 0], [593, 1599], [502, 1599]]"", ""[[375, 0], [463, 0], [463, 1599], [375, 1599]]""]"
Q12_25_011,又置平順營，設潘郎、潘切、麻離庸諧諸道，道設文武各一，皆統於營。,"[""[[375, 0], [463, 0], [463, 1599], [375, 1599]]""]"
Q12_25_012,其府縣不設員。,[]
Q12_26_013,睿尊孝定皇帝癸巳八年，其地陷於西山，迨世祖高皇帝收復。,"[""[[813, 0], [904, 0], [904, 1603], [813, 1603]]"", ""[[687, 0], [775, 0], [775, 1603], [687, 1603]]""]"
Q12_27_014,之仍舊平順營設留守，該簿記錄其順城錄隸屬如故。,"[""[[728, 0], [853, 0], [853, 1602], [728, 1602]]"", ""[[211, 0], [276, 0], [276, 1602], [211, 1602]]""]"
Q12_28_015,嘉隆七年，改營爲鎮守。,"[""[[898, 0], [961, 0], [961, 1587], [898, 1587]]"", ""[[708, 0], [769, 0], [769, 1587], [708, 1587]]""]"
Q12_28_016,明命四年，改爲平順府。,"[""[[329, 0], [390, 0], [390, 1587], [329, 1587]]"", ""[[262, 0], [329, 0], [329, 1587], [262, 1587]]""]"
Q12_28_017,初設知府，兼理安福縣。,"[""[[205, 0], [262, 0], [262, 1587], [205, 1587]]""]"
