ID,sentence,reference_Id
Q13_4_001,八南一統志卷之十三,"[""[[913, 0], [1012, 0], [1012, 1588], [913, 1588]]"", ""[[776, 0], [870, 0], [870, 1588], [776, 1588]]"", ""[[653, 0], [776, 0], [776, 1588], [653, 1588]]""]"
Q13_4_011,河靜省, 東西相距一百五十里，南北相距二百三里。,"[""[[913, 0], [1012, 0], [1012, 1588], [913, 1588]]"", ""[[776, 0], [870, 0], [870, 1588], [776, 1588]]"", ""[[653, 0], [776, 0], [776, 1588], [653, 1588]]""]"
Q13_4_002,東至海十八里，西至開帳山夾甘門、甘吉二縣界一百三十二里。,"[""[[528, 0], [653, 0], [653, 1588], [528, 1588]]"", ""[[386, 0], [528, 0], [528, 1588], [386, 1588]]""]"
Q13_4_003,兆至安樂江瀝渡（俗號「夾父」），安省宜祿縣界七十里。,"[""[[386, 0], [528, 0], [528, 1588], [386, 1588]]"", ""[[297, 0], [386, 0], [386, 1588], [297, 1588]]""]"
Q13_4_004,南至橫山關，夾廣平省平政縣界一百三十三里。,"[""[[297, 0], [386, 0], [386, 1588], [297, 1588]]"", ""[[176, 0], [260, 0], [260, 1588], [176, 1588]]""]"
Q13_4_005,南進京四百九十八里。,"[""[[176, 0], [260, 0], [260, 1588], [176, 1588]]"", ""[[894, 0], [981, 0], [981, 1596], [894, 1596]]""]"
Q13_5_006,分野：天文翼軫，分野鶉尾之次。,"[""[[767, 0], [857, 0], [857, 1596], [767, 1596]]"", ""[[599, 0], [729, 0], [729, 1596], [599, 1596]]""]"
Q13_5_007,建置沿革：古越裳地，秦屬象郡，漢屬九眞郡，吳分九眞置九德，屬九德郡。,"[""[[503, 0], [599, 0], [599, 1596], [503, 1596]]"", ""[[338, 0], [463, 0], [463, 1596], [338, 1596]]"", ""[[207, 0], [338, 0], [338, 1596], [207, 1596]]""]"
Q13_5_008,隋屬日南郡，統縣七，有九德、安遠、安光等縣。,"[""[[207, 0], [338, 0], [338, 1596], [207, 1596]]"", ""[[108, 0], [207, 0], [207, 1596], [108, 1596]]""]"
Q13_5_009,唐屬驩州日南郡，有九德、蒲陽、越裳、懷驩等縣，即其地也。,"[""[[108, 0], [207, 0], [207, 1596], [108, 1596]]"", ""[[901, 0], [997, 0], [997, 1588], [901, 1588]]""]"
Q13_6_010,本國丁、黎、李、陳或屬寨，屬路，屬鎮。,"[""[[901, 0], [997, 0], [997, 1588], [901, 1588]]"", ""[[770, 0], [901, 0], [901, 1588], [770, 1588]]""]"
Q13_6_011,詳《乂安志》明永樂年間，郡縣之屬：父安府與南靖州，初置父安府領明永樂十五年衙儀丕祿、古杜支羅等縣。,"[""[[770, 0], [901, 0], [901, 1588], [770, 1588]]"", ""[[642, 0], [770, 0], [770, 1588], [642, 1588]]"", ""[[577, 0], [642, 0], [642, 1588], [577, 1588]]""]"
Q13_6_012,南靖州名刃書，每領河漢、盤石河、花奇羅等縣，即此秀卷屬西道。,"[""[[577, 0], [642, 0], [642, 1588], [577, 1588]]"", ""[[516, 0], [577, 0], [577, 1588], [516, 1588]]"", ""[[384, 0], [516, 0], [516, 1588], [384, 1588]]""]"
Q13_6_013,光順十年置承宣九府屬，又安之德光河花二府，本朝嘉隆初屬義安鎮。,"[""[[384, 0], [516, 0], [516, 1588], [384, 1588]]"", ""[[260, 0], [384, 0], [384, 1588], [260, 1588]]""]"
Q13_6_014,明命二年改德光府為德壽府，十二年分轄別為河靜省，置巡撫按察二司隸安靜總督統轄。,"[""[[260, 0], [384, 0], [384, 1588], [260, 1588]]"", ""[[133, 0], [260, 0], [260, 1588], [133, 1588]]"", ""[[540, 0], [603, 0], [603, 1611], [540, 1611]]"", ""[[212, 0], [343, 0], [343, 1611], [212, 1611]]"", ""[[645, 0], [771, 0], [771, 1590], [645, 1590]]"", ""[[852, 0], [977, 0], [977, 1577], [852, 1577]]"", ""[[530, 0], [595, 0], [595, 1577], [530, 1577]]"", ""[[463, 0], [530, 0], [530, 1577], [463, 1577]]"", ""[[272, 0], [338, 0], [338, 1577], [272, 1577]]"", ""[[971, 0], [1046, 0], [1046, 1579], [971, 1579]]"", ""[[774, 0], [838, 0], [838, 1579], [774, 1579]]"", ""[[645, 0], [708, 0], [708, 1579], [645, 1579]]""]"
Q13_10_015,十八年析花縣，增設花川縣，置知縣，由河花府統轄。,"[""[[645, 0], [708, 0], [708, 1579], [645, 1579]]"", ""[[520, 0], [578, 0], [578, 1579], [520, 1579]]"", ""[[196, 0], [259, 0], [259, 1579], [196, 1579]]"", ""[[728, 0], [793, 0], [793, 1586], [728, 1586]]"", ""[[401, 0], [464, 0], [464, 1586], [401, 1586]]"", ""[[142, 0], [206, 0], [206, 1586], [142, 1586]]"", ""[[963, 0], [1040, 0], [1040, 1589], [963, 1589]]"", ""[[896, 0], [963, 0], [963, 1589], [896, 1589]]""]"
Q13_12_016,二十一年以鎮定府之甘門、甘吉二系爻隶貞壽守按二縣，本萬象故地為暹羅是已。,"[""[[771, 0], [834, 0], [834, 1589], [771, 1589]]"", ""[[709, 0], [771, 0], [771, 1589], [709, 1589]]"", ""[[580, 0], [645, 0], [645, 1589], [580, 1589]]"", ""[[515, 0], [580, 0], [580, 1589], [515, 1589]]"", ""[[448, 0], [515, 0], [515, 1589], [448, 1589]]"", ""[[325, 0], [385, 0], [385, 1589], [325, 1589]]"", ""[[197, 0], [262, 0], [262, 1589], [197, 1589]]"", ""[[137, 0], [197, 0], [197, 1589], [137, 1589]]""]"
Q13_12_017,奈復言月所破，乞求內附，遂設為縣，置二土官該治，尋為。,"[""[[137, 0], [197, 0], [197, 1589], [137, 1589]]"", ""[[660, 0], [723, 0], [723, 1588], [660, 1588]]""]"
Q13_13_018,牢蠻侵掠土民，流召台亡戶一散，投寓于香山縣地，因改隸焉。,"[""[[532, 0], [597, 0], [597, 1588], [532, 1588]]"", ""[[272, 0], [335, 0], [335, 1588], [272, 1588]]"", ""[[144, 0], [206, 0], [206, 1588], [144, 1588]]"", ""[[910, 0], [973, 0], [973, 1578], [910, 1578]]"", ""[[847, 0], [910, 0], [910, 1578], [847, 1578]]""]"
Q13_14_019,祭六六年，改河花府為河清府，花川縣為錦川縣，花縣為英縣，又以鎮定、鎮靖、鎮邊三府來屬。,"[""[[656, 0], [718, 0], [718, 1578], [656, 1578]]"", ""[[333, 0], [396, 0], [396, 1578], [333, 1578]]"", ""[[341, 0], [468, 0], [468, 1594], [341, 1594]]"", ""[[210, 0], [341, 0], [341, 1594], [210, 1594]]""]"
Q13_16_020,嗣德六年，廢為道，並德壽竝三土府於父安陞河清府為河靜道，置管道一。,"[""[[974, 0], [1018, 0], [1018, 1578], [974, 1578]]""]"
Q13_16_021,文書冊籍冠以父安省，十六年增置副管道一。,"[""[[530, 0], [649, 0], [649, 1578], [530, 1578]]"", ""[[145, 0], [269, 0], [269, 1578], [145, 1578]]""]"
Q13_17_022,二十一年，柝屬德壽府之香山縣，增設香溪縣，置知縣，統於德壽府。,"[""[[337, 0], [465, 0], [465, 1583], [337, 1583]]"", ""[[103, 0], [207, 0], [207, 1583], [103, 1583]]"", ""[[253, 0], [384, 0], [384, 1604], [253, 1604]]""]"
Q13_19_023,二十九年，復爲省摘，德壽府隸歸，復置河清府知府，仍舊置巡撫、按察。,"[""[[352, 0], [409, 0], [409, 1612], [352, 1612]]"", ""[[216, 0], [279, 0], [279, 1612], [216, 1612]]"", ""[[148, 0], [216, 0], [216, 1612], [148, 1612]]"", ""[[708, 0], [769, 0], [769, 1587], [708, 1587]]"", ""[[644, 0], [708, 0], [708, 1587], [644, 1587]]"", ""[[254, 0], [382, 0], [382, 1587], [254, 1587]]"", ""[[545, 0], [610, 0], [610, 1594], [545, 1594]]"", ""[[219, 0], [285, 0], [285, 1594], [219, 1594]]""]"
Q13_21_024,嗣省巡撫置布政同慶，,"[""[[111, 0], [219, 0], [219, 1594], [111, 1594]]""]"
Q13_21_025,乙酉年始置巡撫、,"[""[[111, 0], [219, 0], [219, 1594], [111, 1594]]""]"
Q13_21_026,布政、,[]
Q13_21_027,按察各一，,[]
Q13_21_028,統轄如故，,[]
Q13_21_029,領府二，,[]
Q13_21_030,縣八，,"[""[[111, 0], [219, 0], [219, 1594], [111, 1594]]""]"
Q13_22_031,戶南北距二百二十里，,"[""[[673, 0], [764, 0], [764, 1608], [673, 1608]]"", ""[[382, 0], [515, 0], [515, 1608], [382, 1608]]"", ""[[293, 0], [382, 0], [382, 1608], [293, 1608]]"", ""[[135, 0], [256, 0], [256, 1608], [135, 1608]]""]"
Q13_22_032,東至海十七里，,"[""[[135, 0], [256, 0], [256, 1608], [135, 1608]]"", ""[[854, 0], [973, 0], [973, 1613], [854, 1613]]""]"
Q13_23_033,西至香溪縣四十里，,"[""[[765, 0], [854, 0], [854, 1613], [765, 1613]]""]"
Q13_23_034,南至廣平省平政縣界四十八里，,"[""[[503, 0], [595, 0], [595, 1613], [503, 1613]]"", ""[[246, 0], [337, 0], [337, 1613], [246, 1613]]"", ""[[104, 0], [207, 0], [207, 1613], [104, 1613]]""]"
Q13_23_035,北至千祿縣界一百七十二里。,"[""[[104, 0], [207, 0], [207, 1613], [104, 1613]]"", ""[[818, 0], [912, 0], [912, 1612], [818, 1612]]"", ""[[691, 0], [778, 0], [778, 1612], [691, 1612]]"", ""[[529, 0], [654, 0], [654, 1612], [529, 1612]]""]"
Q13_24_036,唐初為明應二州，後併入越裳縣屬明，為南靖州，黎曰河花府，本朝因之，兼理奇英，統轄石河。,"[""[[303, 0], [394, 0], [394, 1612], [303, 1612]]"", ""[[798, 0], [858, 0], [858, 1617], [798, 1617]]"", ""[[666, 0], [728, 0], [728, 1617], [666, 1617]]"", ""[[469, 0], [536, 0], [536, 1617], [469, 1617]]"", ""[[210, 0], [277, 0], [277, 1617], [210, 1617]]"", ""[[146, 0], [210, 0], [210, 1617], [146, 1617]]""]"
Q13_26_037,明命十八年，柳奇英縣增設花川縣，亦屬府統轄。,"[""[[968, 0], [1057, 0], [1057, 1584], [968, 1584]]"", ""[[708, 0], [777, 0], [777, 1584], [708, 1584]]""]"
Q13_26_038,紹治元年，,[]
Q13_26_039,改今名，,"[""[[579, 0], [647, 0], [647, 1584], [579, 1584]]""]"
Q13_26_040,嗣德六年陞為道，,[]
Q13_26_041,由道兼理，,[]
Q13_26_042,二十九年分轄，,[]
Q13_26_043,復置知有府兼理奇英，,"[""[[450, 0], [522, 0], [522, 1584], [450, 1584]]""]"
Q13_26_044,統轄石河，,[]
Q13_26_045,錦川領縣三，,"[""[[197, 0], [263, 0], [263, 1584], [197, 1584]]"", ""[[668, 0], [736, 0], [736, 1621], [668, 1621]]""]"
Q13_27_046,縣東西距五十七里，,"[""[[668, 0], [736, 0], [736, 1621], [668, 1621]]"", ""[[408, 0], [471, 0], [471, 1621], [408, 1621]]"", ""[[279, 0], [346, 0], [346, 1621], [279, 1621]]""]"
Q13_27_047,南北距八十一里，,"[""[[149, 0], [215, 0], [215, 1621], [149, 1621]]"", ""[[979, 0], [1063, 0], [1063, 1609], [979, 1609]]""]"
Q13_28_048,東至海十七里，,"[""[[785, 0], [850, 0], [850, 1609], [785, 1609]]"", ""[[461, 0], [531, 0], [531, 1609], [461, 1609]]""]"
Q13_28_049,西至香溪縣界四十里，,"[""[[209, 0], [268, 0], [268, 1609], [209, 1609]]"", ""[[923, 0], [988, 0], [988, 1603], [923, 1603]]"", ""[[609, 0], [671, 0], [671, 1603], [609, 1603]]"", ""[[413, 0], [478, 0], [478, 1603], [413, 1603]]"", ""[[287, 0], [353, 0], [353, 1603], [287, 1603]]"", ""[[73, 0], [153, 0], [153, 1603], [73, 1603]]""]"
Q13_30_050,南至廣平關四十九里，,"[""[[958, 0], [1036, 0], [1036, 1598], [958, 1598]]""]"
Q13_30_051,北至錦川縣界三十二里。,"[""[[832, 0], [893, 0], [893, 1598], [832, 1598]]"", ""[[763, 0], [832, 0], [832, 1598], [763, 1598]]"", ""[[446, 0], [510, 0], [510, 1598], [446, 1598]]""]"
Q13_31_052,陈河花县地，陈耀庆三年后侄峒属。,"[""[[912, 0], [975, 0], [975, 1590], [912, 1590]]""]"
Q13_31_053,明因之黎併羅縣為花縣，本朝因之，明命十七年，析樂川雲傘土坑美裔四總置錦川縣，紹治元年改今名，由府兼理。,"[""[[723, 0], [791, 0], [791, 1590], [723, 1590]]"", ""[[661, 0], [723, 0], [723, 1590], [661, 1590]]"", ""[[531, 0], [593, 0], [593, 1590], [531, 1590]]"", ""[[336, 0], [401, 0], [401, 1590], [336, 1590]]"", ""[[270, 0], [336, 0], [336, 1590], [270, 1590]]"", ""[[206, 0], [270, 0], [270, 1590], [206, 1590]]"", ""[[141, 0], [206, 0], [206, 1590], [141, 1590]]"", ""[[59, 0], [141, 0], [141, 1590], [59, 1590]]""]"
