ID,sentence,reference_Id
Q1_2_001,奉充國史館總裁纂修臣等謹奏。,"[""[[1691, 0], [1776, 0], [1776, 1733], [1691, 1733]]"", ""[[1580, 0], [1691, 0], [1691, 1733], [1580, 1733]]""]"
Q1_2_002,為將欽修大南一統志書成進呈。,"[""[[1580, 0], [1691, 0], [1691, 1733], [1580, 1733]]"", ""[[1470, 0], [1580, 0], [1580, 1733], [1470, 1733]]""]"
Q1_2_003,竊惟熙代之車書統混，天下為一家，中國為一人。,"[""[[1470, 0], [1580, 0], [1580, 1733], [1470, 1733]]"", ""[[1362, 0], [1439, 0], [1439, 1733], [1362, 1733]]""]"
Q1_2_004,寰瀛之封域殊分，百里不同風，千里不同俗。,"[""[[1362, 0], [1439, 0], [1439, 1733], [1362, 1733]]"", ""[[1218, 0], [1330, 0], [1330, 1733], [1218, 1733]]""]"
Q1_2_005,故疆界登於禹貢，森嚴之法度綦詳，而水土列在職方。,"[""[[1218, 0], [1330, 0], [1330, 1733], [1218, 1733]]"", ""[[1113, 0], [1218, 0], [1218, 1733], [1113, 1733]]""]"
Q1_2_006,經緯之心思所寓，蓋有取春秋一統之義，且以續上古九邱之書，用能不出戶庭，直遊天地，八荒皆闊六合，爲除而豈徒寰宇記之自詡太平，郡國志之只陳利病已也。,"[""[[1113, 0], [1218, 0], [1218, 1733], [1113, 1733]]"", ""[[1029, 0], [1113, 0], [1113, 1733], [1029, 1733]]"", ""[[833, 0], [941, 0], [941, 1733], [833, 1733]]"", ""[[722, 0], [833, 0], [833, 1733], [722, 1733]]"", ""[[609, 0], [722, 0], [722, 1733], [609, 1733]]""]"
Q1_2_007,溯炎邦之啓宅，當牛宿之分墟，念在昔鴻龐以後，西山以前，地僅拓石碑之北，迄本朝昇龍未收，春京未卜，界尚分橫嶺之南。,"[""[[609, 0], [722, 0], [722, 1733], [609, 1733]]"", ""[[526, 0], [609, 0], [609, 1733], [526, 1733]]"", ""[[416, 0], [465, 0], [465, 1733], [416, 1733]]"", ""[[270, 0], [383, 0], [383, 1733], [270, 1733]]""]"
Q1_2_008,幸皇天開一治之期，而土宇闢四郊之廣，無此疆無彼界，跨牢撾暹臘以爲藩，莫非土，莫非臣。,"[""[[270, 0], [383, 0], [383, 1733], [270, 1733]]"", ""[[184, 0], [270, 0], [270, 1733], [184, 1733]]"", ""[[1663, 0], [1772, 0], [1772, 1708], [1663, 1708]]""]"
Q1_3_009,冠丁李陳黎而立國，固已圖光王會志，統天南幅員既長，五服直通夫禹跡廣輪，自辨九州已繪於圖者矣。,"[""[[1663, 0], [1772, 0], [1772, 1708], [1663, 1708]]"", ""[[1558, 0], [1663, 0], [1663, 1708], [1558, 1708]]"", ""[[1445, 0], [1558, 0], [1558, 1708], [1445, 1708]]"", ""[[1336, 0], [1445, 0], [1445, 1708], [1336, 1708]]""]"
Q1_3_010,惟古後之辰殊，以沿革而日異，或分或合，或省或增，則將見異辭，聞異辭，所傳異辭，恐或史書之不到，苟非纂其要，記其事，以存其寔，茫然往牒之難尋，使將來得以知今，則此編可備考古也。,"[""[[1336, 0], [1445, 0], [1445, 1708], [1336, 1708]]"", ""[[1225, 0], [1336, 0], [1336, 1708], [1225, 1708]]"", ""[[1139, 0], [1225, 0], [1225, 1708], [1139, 1708]]"", ""[[1037, 0], [1139, 0], [1139, 1708], [1037, 1708]]"", ""[[839, 0], [957, 0], [957, 1708], [839, 1708]]""]"
