ID,sentence,reference_Id
Q6_2_001,大南一統志卷之六廣義省，東西相距三十九里，南北相距一百五十三里。,"[""[[1678, 0], [1799, 0], [1799, 1733], [1678, 1733]]"", ""[[1602, 0], [1678, 0], [1678, 1733], [1602, 1733]]"", ""[[1490, 0], [1570, 0], [1570, 1733], [1490, 1733]]"", ""[[1350, 0], [1460, 0], [1460, 1733], [1350, 1733]]""]"
Q6_2_002,東至海十六里，西至長壘夾蠻境二十三里，南至平定省蓬山縣界九十八里，北至廣南省河東縣為三岐府（下同）。,"[""[[1350, 0], [1460, 0], [1460, 1733], [1350, 1733]]"", ""[[1266, 0], [1350, 0], [1350, 1733], [1266, 1733]]"", ""[[1127, 0], [1266, 0], [1266, 1733], [1127, 1733]]""]"
Q6_2_003,成泰十八年改界五十五里，東南至平定省蓬山縣界一百三里，西南至懷恩縣界又接蠻境一百三十里，東北至廣南省河東縣界四十一里，西北至河東縣界又接蠻境五十九里。,"[""[[1127, 0], [1266, 0], [1266, 1733], [1127, 1733]]"", ""[[1050, 0], [1127, 0], [1127, 1733], [1050, 1733]]"", ""[[853, 0], [959, 0], [959, 1733], [853, 1733]]"", ""[[742, 0], [853, 0], [853, 1733], [742, 1733]]"", ""[[658, 0], [742, 0], [742, 1733], [658, 1733]]""]"
Q6_2_004,自省治北進京三百八十裡，野明命天不庫清化省志里蒙道，尺八十八年測極高十五度三分偏東一度十四分四十秒。,"[""[[658, 0], [742, 0], [742, 1733], [658, 1733]]"", ""[[433, 0], [552, 0], [552, 1733], [433, 1733]]"", ""[[358, 0], [433, 0], [433, 1733], [358, 1733]]"", ""[[317, 0], [358, 0], [358, 1733], [317, 1733]]"", ""[[241, 0], [317, 0], [317, 1733], [241, 1733]]"", ""[[151, 0], [241, 0], [241, 1733], [151, 1733]]""]"
Q6_3_005,建置沿革：福漢末沒於林邑，隋平林邑隸農州，尋改隸海陰郡，唐改隸山州省志廣作宋屬占城古壘洞之地。,"[""[[1714, 0], [1799, 0], [1799, 1736], [1714, 1736]]"", ""[[1601, 0], [1682, 0], [1682, 1736], [1601, 1736]]"", ""[[1491, 0], [1567, 0], [1567, 1736], [1491, 1736]]"", ""[[1347, 0], [1457, 0], [1457, 1736], [1347, 1736]]"", ""[[1266, 0], [1347, 0], [1347, 1736], [1266, 1736]]""]"
Q6_3_006,安南閏胡取其地，置思義二州，思州縣二事平白烏義州縣三義純鵝盃溪錦屬日奈千主月集其出貝阼於占版籍，徒載空名而已。,"[""[[1266, 0], [1347, 0], [1347, 1736], [1266, 1736]]"", ""[[1200, 0], [1253, 0], [1253, 1736], [1200, 1736]]"", ""[[1123, 0], [1200, 0], [1200, 1736], [1123, 1736]]"", ""[[1049, 0], [1123, 0], [1123, 1736], [1049, 1736]]""]"
Q6_3_007,黎初為羈縻之地，,"[""[[1049, 0], [1123, 0], [1123, 1736], [1049, 1736]]""]"
Q6_3_008,鴻德初征占取其地，,"[""[[880, 0], [956, 0], [956, 1736], [880, 1736]]""]"
Q6_3_009,以黎倚陀為古壘知州知軍民事，,"[""[[880, 0], [956, 0], [956, 1736], [880, 1736]]"", ""[[766, 0], [880, 0], [880, 1736], [766, 1736]]""]"
Q6_3_010,尋改置思義府領縣三山蒙德義江平隸廣南承宣，,"[""[[766, 0], [880, 0], [880, 1736], [766, 1736]]"", ""[[657, 0], [734, 0], [734, 1736], [657, 1736]]""]"
Q6_3_011,本朝太祖嘉裕皇帝入鎮順廣改爲廣義府，,"[""[[657, 0], [734, 0], [734, 1736], [657, 1736]]"", ""[[541, 0], [657, 0], [657, 1736], [541, 1736]]""]"
Q6_3_012,置巡撫勘理，,"[""[[541, 0], [657, 0], [657, 1736], [541, 1736]]""]"
Q6_3_013,仍隸廣南營僞西山曰和義府。,"[""[[430, 0], [541, 0], [541, 1736], [430, 1736]]""]"
Q6_3_014,世祖高皇帝復其地，命曰廣義營，設雷守該簿記錄以治之。,"[""[[316, 0], [398, 0], [398, 1736], [316, 1736]]"", ""[[199, 0], [283, 0], [283, 1736], [199, 1736]]""]"
Q6_3_015,嘉隆七年改爲鎭，九年改雷守。,"[""[[199, 0], [283, 0], [283, 1736], [199, 1736]]""]"
Q6_4_016,为了更好地理解和处理这段文本，请允许我先进行一些必要的修正和解释，以便准确插入标点符号：,"[""[[1379, 0], [1455, 0], [1455, 1732], [1379, 1732]]""]"
