ID,sentence,reference_Id
Q9_2_001,大南一統志卷之八,"[""[[1680, 0], [1806, 0], [1806, 1740], [1680, 1740]]"", ""[[1577, 0], [1680, 0], [1680, 1740], [1577, 1740]]"", ""[[1492, 0], [1577, 0], [1577, 1740], [1492, 1740]]""]"
Q9_2_011,廣平省,"[""[[1680, 0], [1806, 0], [1806, 1740], [1680, 1740]]"", ""[[1577, 0], [1680, 0], [1680, 1740], [1577, 1740]]"", ""[[1492, 0], [1577, 0], [1577, 1740], [1492, 1740]]""]"
Q9_2_002,東西相距九十二里南, 南北相距二百四里，,"[""[[1492, 0], [1577, 0], [1577, 1740], [1492, 1740]]""]"
Q9_2_003,東至於海三里，,"[""[[1492, 0], [1577, 0], [1577, 1740], [1492, 1740]]"", ""[[1384, 0], [1492, 0], [1492, 1740], [1384, 1740]]""]"
Q9_2_004,西至山崗八十九里，,"[""[[1384, 0], [1492, 0], [1492, 1740], [1384, 1740]]""]"
Q9_2_005,南至廣治省永靈縣界一百里，,"[""[[1384, 0], [1492, 0], [1492, 1740], [1384, 1740]]"", ""[[1269, 0], [1384, 0], [1384, 1740], [1269, 1740]]""]"
Q9_2_006,北至河靜省奇英縣界一百四里，,"[""[[1269, 0], [1384, 0], [1384, 1740], [1269, 1740]]"", ""[[1138, 0], [1247, 0], [1247, 1740], [1138, 1740]]""]"
Q9_2_007,東南至海十四里，,"[""[[1138, 0], [1247, 0], [1247, 1740], [1138, 1740]]""]"
Q9_2_008,西南至山崗八十四里，,"[""[[1138, 0], [1247, 0], [1247, 1740], [1138, 1740]]"", ""[[1047, 0], [1138, 0], [1138, 1740], [1047, 1740]]""]"
Q9_2_009,東北至海二里有奇，,"[""[[1047, 0], [1138, 0], [1138, 1740], [1047, 1740]]""]"
Q9_2_010,西北至河靜省限行民品房務後學房店香溪縣界一百六十七里。,"[""[[1047, 0], [1138, 0], [1138, 1740], [1047, 1740]]"", ""[[956, 0], [1047, 0], [1047, 1740], [956, 1740]]"", ""[[839, 0], [956, 0], [956, 1740], [839, 1740]]""]"
Q9_2_011,自省南進京二百分野，天文翼軫分野鶻尾之次，分五十八抄，偏西極高十七度十七分，明合即品有務司建設沿革，古為越裳氏地，秦屬象郡，漢屬日南郡，西卷壽分二之也也。,"[""[[839, 0], [956, 0], [956, 1740], [839, 1740]]"", ""[[665, 0], [727, 0], [727, 1740], [665, 1740]]"", ""[[527, 0], [665, 0], [665, 1740], [527, 1740]]"", ""[[452, 0], [527, 0], [527, 1740], [452, 1740]]"", ""[[390, 0], [452, 0], [452, 1740], [390, 1740]]"", ""[[297, 0], [390, 0], [390, 1740], [297, 1740]]"", ""[[199, 0], [297, 0], [297, 1740], [199, 1740]]"", ""[[1765, 0], [1825, 0], [1825, 1760], [1765, 1760]]""]"
Q9_3_012,水經注漢武帝元鼎六年才言洋二鼎之北，,"[""[[1765, 0], [1825, 0], [1825, 1760], [1765, 1760]]"", ""[[1716, 0], [1765, 0], [1765, 1760], [1716, 1760]]"", ""[[1314, 0], [1375, 0], [1375, 1760], [1314, 1760]]"", ""[[1061, 0], [1137, 0], [1137, 1760], [1061, 1760]]"", ""[[547, 0], [591, 0], [591, 1760], [547, 1760]]""]"
Q9_3_013,七年開日南郡治西卷縣，,"[""[[433, 0], [518, 0], [518, 1760], [433, 1760]]"", ""[[201, 0], [286, 0], [286, 1760], [201, 1760]]"", ""[[1481, 0], [1584, 0], [1584, 1757], [1481, 1757]]""]"
Q9_4_014,宋州郡志晋武帝太康十年分西捲置壽冷縣屬曰南郡，,"[""[[1351, 0], [1481, 0], [1481, 1757], [1351, 1757]]"", ""[[1019, 0], [1098, 0], [1098, 1757], [1019, 1757]]"", ""[[752, 0], [854, 0], [854, 1757], [752, 1757]]"", ""[[1703, 0], [1773, 0], [1773, 1740], [1703, 1740]]"", ""[[1579, 0], [1622, 0], [1622, 1740], [1579, 1740]]"", ""[[872, 0], [984, 0], [984, 1740], [872, 1740]]""]"
